c,L,instance,realization,payoff
0.4,0,1,0,739.3104751827796
0.4,0,1,1,713.8161180976246
0.4,0,1,2,727.6103150376755
0.4,0,1,3,722.0161583953515
0.4,0,1,4,740.5246698591935
0.4,0,1,5,706.852157908869
0.4,0,1,6,718.9715495421342
0.4,0,1,7,730.2345060717133
0.4,0,1,8,714.662578251191
0.4,0,1,9,724.0765445007579
0.4,0,1,10,724.0417576514577
0.4,0,1,11,721.1690222862621
0.4,0,1,12,720.2382144344083
0.4,0,1,13,724.3381173962871
0.4,0,1,14,714.5743554936392
0.4,0,1,15,709.5061368981419
0.4,0,1,16,717.9872120401363
0.4,0,1,17,733.4649352929509
0.4,0,1,18,721.7140071804813
0.4,0,1,19,718.9735941799837
0.4,0,1,20,710.6944813465068
0.4,0,1,21,730.2664362052462
0.4,0,1,22,727.4354888416498
0.4,0,1,23,731.173890367561
0.4,0,1,24,728.053917014565
0.4,0,1,25,724.2948295982311
0.4,0,1,26,728.8213279463114
0.4,0,1,27,725.4356930709018
0.4,0,1,28,726.7086171021606
0.4,0,1,29,725.2664746252435
0.4,2,1,0,773.9766517187636
0.4,2,1,1,743.8163779302388
0.4,2,1,2,756.9955003653856
0.4,2,1,3,756.950406476259
0.4,2,1,4,774.894508414385
0.4,2,1,5,738.6033047809965
0.4,2,1,6,748.4438992801192
0.4,2,1,7,766.0329824993983
0.4,2,1,8,739.9428617123621
0.4,2,1,9,755.951723037686
0.4,2,1,10,756.3277117341838
0.4,2,1,11,752.5497439503436
0.4,2,1,12,754.977631609481
0.4,2,1,13,759.851088462407
0.4,2,1,14,749.3602138825354
0.4,2,1,15,740.2232717257218
0.4,2,1,16,749.6028616746764
0.4,2,1,17,763.7434433755556
0.4,2,1,18,752.010211907233
0.4,2,1,19,746.0901284003041
0.4,2,1,20,748.4434231340338
0.4,2,1,21,757.90117142492
0.4,2,1,22,758.937795720432
0.4,2,1,23,764.5290903952534
0.4,2,1,24,763.1022798838295
0.4,2,1,25,753.3126892650623
0.4,2,1,26,761.4123324515137
0.4,2,1,27,755.0702745091289
0.4,2,1,28,758.4315432665228
0.4,2,1,29,761.1115774091319
0.4,4,1,0,792.4472639999967
0.4,4,1,1,767.2114649577518
0.4,4,1,2,777.8777588914872
0.4,4,1,3,781.080800487727
0.4,4,1,4,797.9580656957203
0.4,4,1,5,758.6063141298571
0.4,4,1,6,771.0918581012154
0.4,4,1,7,786.548138665051
0.4,4,1,8,765.9517150490276
0.4,4,1,9,774.6464296509014
0.4,4,1,10,778.9810135040846
0.4,4,1,11,775.8514270301098
0.4,4,1,12,775.8874933890687
0.4,4,1,13,772.3774817330902
0.4,4,1,14,770.0617436123405
0.4,4,1,15,760.408703136124
0.4,4,1,16,774.2436650776954
0.4,4,1,17,790.329937762414
0.4,4,1,18,774.3986678538505
0.4,4,1,19,765.3113433723195
0.4,4,1,20,768.6610040458486
0.4,4,1,21,778.6217044519206
0.4,4,1,22,780.7439458359429
0.4,4,1,23,785.7960963752957
0.4,4,1,24,782.8296772150368
0.4,4,1,25,770.76465372795
0.4,4,1,26,781.3879017822194
0.4,4,1,27,776.6862141185654
0.4,4,1,28,780.9891340684603
0.4,4,1,29,782.733405445342
0.4,6,1,0,786.5867802052512
0.4,6,1,1,758.0895962712868
0.4,6,1,2,777.4686268766751
0.4,6,1,3,775.3692074885316
0.4,6,1,4,793.7596812350926
0.4,6,1,5,751.1491188997545
0.4,6,1,6,760.8047919745328
0.4,6,1,7,777.2817504018496
0.4,6,1,8,759.8597427056923
0.4,6,1,9,766.7716484933248
0.4,6,1,10,768.2444971493034
0.4,6,1,11,771.3468231196557
0.4,6,1,12,767.3642684891706
0.4,6,1,13,767.1784465431815
0.4,6,1,14,759.1093011530712
0.4,6,1,15,751.3635635011194
0.4,6,1,16,765.6092108927428
0.4,6,1,17,781.0103788566773
0.4,6,1,18,765.4460441083768
0.4,6,1,19,761.1801462758956
0.4,6,1,20,764.0277910136015
0.4,6,1,21,773.3498863897707
0.4,6,1,22,771.3480709144236
0.4,6,1,23,778.6465220568675
0.4,6,1,24,776.8440595157324
0.4,6,1,25,763.528153130566
0.4,6,1,26,779.3336884567552
0.4,6,1,27,769.5884570260937
0.4,6,1,28,780.3803014559894
0.4,6,1,29,774.5455827268129
0.4,12,1,0,833.3455182017937
0.4,12,1,1,807.246589157497
0.4,12,1,2,833.7244063269359
0.4,12,1,3,827.8206215687085
0.4,12,1,4,850.856761351175
0.4,12,1,5,790.6019497438051
0.4,12,1,6,815.2644104532496
0.4,12,1,7,835.7376910595958
0.4,12,1,8,808.068114913362
0.4,12,1,9,815.4293704733486
